
time;ax;ay;az;wx;wy;wz;
3.2180;-3.3322;-1.7986;2.8453;-0.4538;0.7854;-0.3840;
3.2190;-3.3322;-1.7986;2.8453;-0.7330;0.7679;0.5934;
3.2200;3.0372;-1.9115;-0.8998;-0.7330;0.7679;0.5934;
3.2210;3.0372;-1.9115;-0.8998;-0.7330;0.7679;0.5934;
3.2670;3.0372;-1.9115;-0.8998;-0.7330;0.7679;0.5934;
3.2690;3.0372;-1.9115;-0.8998;-0.7330;0.7679;0.5934;
3.2710;3.0372;-1.9115;-0.8998;-0.2618;0.2443;0.2792;
3.2720;3.6211;2.8501;2.1341;-0.2618;0.2443;0.2792;
3.3360;3.6211;2.8501;2.1341;-0.2618;0.2443;0.2792;
3.3370;3.6211;2.8501;2.1341;-0.2618;0.2443;0.2792;
3.3380;3.6211;2.8501;2.1341;0.1920;-0.2443;-0.3141;
3.3390;-1.4850;-0.2671;-0.6533;0.1920;-0.2443;-0.3141;
3.3990;-1.4850;-0.2671;-0.6533;0.1920;-0.2443;-0.3141;
3.4010;-1.4850;-0.2671;-0.6533;0.1920;-0.2443;-0.3141;
3.4020;-1.4850;-0.2671;-0.6533;0.4712;-0.5236;-0.5236;
3.4030;-0.9563;-0.3549;1.5553;0.4712;-0.5236;-0.5236;
3.4650;-0.9563;-0.3549;1.5553;0.4712;-0.5236;-0.5236;
3.4670;-0.9563;-0.3549;1.5553;0.4712;-0.5236;-0.5236;
3.4680;-0.9563;-0.3549;1.5553;0.6458;-0.5934;-0.4014;
3.4700;2.7233;0.6155;1.6225;0.6458;-0.5934;-0.4014;
3.5310;2.7233;0.6155;1.6225;0.6458;-0.5934;-0.4014;
3.5330;2.7233;0.6155;1.6225;0.6458;-0.5934;-0.4014;
3.5350;2.7233;0.6155;1.6225;0.6458;-0.4887;-0.0174;
3.5360;2.8130;0.4814;2.2397;0.6458;-0.4887;-0.0174;
3.5970;2.8130;0.4814;2.2397;0.6458;-0.4887;-0.0174;
3.5990;2.8130;0.4814;2.2397;0.6458;-0.4887;-0.0174;
3.6010;2.8130;0.4814;2.2397;0.6283;-0.3316;0.1920;
3.6020;1.0994;-1.8840;1.7474;0.6283;-0.3316;0.1920;
3.6630;1.0994;-1.8840;1.7474;0.6283;-0.3316;0.1920;
3.6650;1.0994;-1.8840;1.7474;0.6283;-0.3316;0.1920;
3.6670;1.0994;-1.8840;1.7474;-0.4189;-0.3490;3.1590;
3.6680;-2.9298;-4.5690;-0.0200;-0.4189;-0.3490;3.1590;
3.7290;-2.9298;-4.5690;-0.0200;-0.4189;-0.3490;3.1590;
3.7310;-2.9298;-4.5690;-0.0200;-0.4189;-0.3490;3.1590;
3.7320;-2.9298;-4.5690;-0.0200;-0.3316;-0.6283;3.1066;
3.7330;-3.0228;-5.2029;0.5944;-0.3316;-0.6283;3.1066;
3.7950;-3.0228;-5.2029;0.5944;-0.3316;-0.6283;3.1066;
3.7970;-3.0228;-5.2029;0.5944;-0.3316;-0.6283;3.1066;
3.7980;-3.0228;-5.2029;0.5944;-0.2443;-1.0123;2.9844;
3.7990;5.2294;1.8419;0.7108;-0.2443;-1.0123;2.9844;
3.8610;5.2294;1.8419;0.7108;-0.2443;-1.0123;2.9844;
3.8630;5.2294;1.8419;0.7108;-0.2443;-1.0123;2.9844;
3.8650;5.2294;1.8419;0.7108;0.3840;-0.9599;0.1222;
3.8660;-1.6675;4.6790;-1.5341;0.3840;-0.9599;0.1222;
3.9270;-1.6675;4.6790;-1.5341;0.3840;-0.9599;0.1222;
3.9300;-1.6675;4.6790;-1.5341;0.3840;-0.9599;0.1222;
3.9310;-1.6675;4.6790;-1.5341;0.0174;-0.0174;0.2094;
3.9330;-5.9810;5.0845;-0.3435;0.0174;-0.0174;0.2094;
3.9930;-5.9810;5.0845;-0.3435;0.0174;-0.0174;0.2094;
3.9950;-5.9810;5.0845;-0.3435;0.0174;-0.0174;0.2094;
3.9970;-5.9810;5.0845;-0.3435;-0.5759;0.9424;0.2792;
3.9980;-2.3569;1.8348;-1.1435;-0.5759;0.9424;0.2792;
4.0590;-2.3569;1.8348;-1.1435;-0.5759;0.9424;0.2792;
4.0610;-2.3569;1.8348;-1.1435;-0.5759;0.9424;0.2792;
4.0630;-2.3569;1.8348;-1.1435;-0.4189;1.3264;-0.8901;
4.0640;12.0146;-5.2698;-5.5752;-0.4189;1.3264;-0.8901;
4.1250;12.0146;-5.2698;-5.5752;-0.4189;1.3264;-0.8901;
4.1270;12.0146;-5.2698;-5.5752;-0.4189;1.3264;-0.8901;
4.1290;12.0146;-5.2698;-5.5752;0.5585;1.1693;-3.1590;
4.1300;2.8880;0.8223;-0.4816;0.5585;1.1693;-3.1590;
4.1910;2.8880;0.8223;-0.4816;0.5585;1.1693;-3.1590;
4.1940;2.8880;0.8223;-0.4816;0.5585;1.1693;-3.1590;
4.1950;2.8880;0.8223;-0.4816;0.6632;0.7679;-3.2113;
4.1970;-5.3161;-0.9447;0.1861;0.6632;0.7679;-3.2113;
4.2570;-5.3161;-0.9447;0.1861;0.6632;0.7679;-3.2113;
4.2590;-5.3161;-0.9447;0.1861;0.6632;0.7679;-3.2113;
4.2600;-5.3161;-0.9447;0.1861;0.2443;0.6108;-1.8325;
4.2620;-2.5158;-0.8822;3.4487;0.2443;0.6108;-1.8325;
4.3230;-2.5158;-0.8822;3.4487;0.2443;0.6108;-1.8325;
4.3290;-2.5158;-0.8822;3.4487;0.2443;0.6108;-1.8325;
4.3300;-2.5158;-0.8822;3.4487;-0.6283;0.6632;0.4538;
4.3310;3.1701;-1.6288;-6.1827;-0.6283;0.6632;0.4538;
4.3890;3.1701;-1.6288;-6.1827;-0.6283;0.6632;0.4538;
4.3910;3.1701;-1.6288;-6.1827;-0.6283;0.6632;0.4538;
4.3920;3.1701;-1.6288;-6.1827;-0.4014;0.4538;0.3840;
4.3930;0.4408;2.2749;0.5606;-0.4014;0.4538;0.3840;
4.4550;0.4408;2.2749;0.5606;-0.4014;0.4538;0.3840;
4.4570;0.4408;2.2749;0.5606;-0.4014;0.4538;0.3840;
4.4580;0.4408;2.2749;0.5606;0.0000;0.0174;-0.0524;
4.4590;0.6294;0.2428;0.1517;0.0000;0.0174;-0.0524;
4.5210;0.6294;0.2428;0.1517;0.0000;0.0174;-0.0524;
4.5230;0.6294;0.2428;0.1517;0.0000;0.0174;-0.0524;
4.5240;0.6294;0.2428;0.1517;0.3490;-0.3141;-0.4538;
4.5250;-0.6335;1.3993;1.7872;0.3490;-0.3141;-0.4538;
4.5870;-0.6335;1.3993;1.7872;0.3490;-0.3141;-0.4538;
4.5890;-0.6335;1.3993;1.7872;0.3490;-0.3141;-0.4538;
4.5900;-0.6335;1.3993;1.7872;0.5934;-0.4014;-0.4363;
4.5910;0.5098;-1.0527;-0.8845;0.5934;-0.4014;-0.4363;
4.6530;0.5098;-1.0527;-0.8845;0.5934;-0.4014;-0.4363;
4.6550;0.5098;-1.0527;-0.8845;0.5934;-0.4014;-0.4363;
4.6560;0.5098;-1.0527;-0.8845;0.6283;-0.2094;-0.1571;
4.6570;2.9656;0.6402;2.1960;0.6283;-0.2094;-0.1571;
4.7230;2.9656;0.6402;2.1960;0.6283;-0.2094;-0.1571;
4.7240;2.9656;0.6402;2.1960;0.6283;0.1396;0.0349;
4.7250;3.9949;-1.9069;2.0913;0.6283;0.1396;0.0349;
4.7260;3.9949;-1.9069;2.0913;0.6283;0.1396;0.0349;
4.7860;3.9949;-1.9069;2.0913;0.6283;0.1396;0.0349;
4.7870;3.9949;-1.9069;2.0913;0.6283;0.1396;0.0349;
4.7880;3.9949;-1.9069;2.0913;-0.1571;0.2967;2.3038;
4.7890;-1.0827;-1.9444;-0.8795;-0.1571;0.2967;2.3038;
4.8620;-1.0827;-1.9444;-0.8795;-0.1571;0.2967;2.3038;
4.8620;-1.0827;-1.9444;-0.8795;-0.0174;-0.8552;3.3858;
4.8630;-3.7818;-4.7389;0.6558;-0.0174;-0.8552;3.3858;
4.8640;-3.7818;-4.7389;0.6558;-0.0174;-0.8552;3.3858;
4.9160;-3.7818;-4.7389;0.6558;-0.0174;-0.8552;3.3858;
4.9190;-3.7818;-4.7389;0.6558;-0.0174;-0.8552;3.3858;
4.9200;-3.7818;-4.7389;0.6558;0.8726;-3.3509;3.2462;
4.9210;4.2429;-0.5490;-0.2801;0.8726;-3.3509;3.2462;
4.9970;4.2429;-0.5490;-0.2801;0.8726;-3.3509;3.2462;
4.9990;4.2429;-0.5490;-0.2801;2.0245;-4.2934;1.1170;
5.0000;0.2471;3.1937;0.9728;2.0245;-4.2934;1.1170;
