
time;ax;ay;az;wx;wy;wz;
1.8680;6.1379;-11.4440;-2.7485;0.4014;0.6981;0.0349;
1.8700;6.1379;-11.4440;-2.7485;0.4014;0.6981;0.0349;
1.8710;6.1379;-11.4440;-2.7485;0.3141;0.7330;1.4137;
1.8720;6.5560;-4.4930;-2.5980;0.3141;0.7330;1.4137;
1.9350;6.5560;-4.4930;-2.5980;0.3141;0.7330;1.4137;
1.9370;6.5560;-4.4930;-2.5980;0.3141;0.7330;1.4137;
1.9370;6.5560;-4.4930;-2.5980;-0.6981;1.3613;2.7226;
1.9380;5.3219;-3.7054;-1.5078;-0.6981;1.3613;2.7226;
2.0080;5.3219;-3.7054;-1.5078;-0.6981;1.3613;2.7226;
2.0120;5.3219;-3.7054;-1.5078;-0.6981;1.3613;2.7226;
2.0130;5.3219;-3.7054;-1.5078;-0.5934;2.0943;2.5306;
2.0140;5.2493;-3.3596;-1.0423;-0.5934;2.0943;2.5306;
2.0660;5.2493;-3.3596;-1.0423;-0.5934;2.0943;2.5306;
2.0680;5.2493;-3.3596;-1.0423;-0.5934;2.0943;2.5306;
2.0690;5.2493;-3.3596;-1.0423;-0.3141;2.6179;2.0943;
2.0700;5.2150;-3.6954;-0.8985;-0.3141;2.6179;2.0943;
2.1320;5.2150;-3.6954;-0.8985;-0.3141;2.6179;2.0943;
2.1340;5.2150;-3.6954;-0.8985;-0.3141;2.6179;2.0943;
2.1350;5.2150;-3.6954;-0.8985;-0.0872;2.6528;1.5358;
2.1360;3.4330;-4.0867;-0.9535;-0.0872;2.6528;1.5358;
2.2020;3.4330;-4.0867;-0.9535;-0.0872;2.6528;1.5358;
2.2030;3.4330;-4.0867;-0.9535;0.0524;2.2689;1.0646;
2.2040;0.6573;-1.9154;-1.0828;0.0524;2.2689;1.0646;
2.2040;0.6573;-1.9154;-1.0828;0.0524;2.2689;1.0646;
2.2640;0.6573;-1.9154;-1.0828;0.0524;2.2689;1.0646;
2.2660;0.6573;-1.9154;-1.0828;0.0524;2.2689;1.0646;
2.2660;0.6573;-1.9154;-1.0828;0.1222;1.4486;0.5585;
2.2670;0.5657;-3.3710;-0.1944;0.1222;1.4486;0.5585;
2.3300;0.5657;-3.3710;-0.1944;0.1222;1.4486;0.5585;
2.3320;0.5657;-3.3710;-0.1944;0.1222;1.4486;0.5585;
2.3330;0.5657;-3.3710;-0.1944;0.0872;0.8377;0.2618;
2.3330;3.2159;-2.5650;1.4770;0.0872;0.8377;0.2618;
2.3960;3.2159;-2.5650;1.4770;0.0872;0.8377;0.2618;
2.3980;3.2159;-2.5650;1.4770;0.0872;0.8377;0.2618;
2.3990;3.2159;-2.5650;1.4770;0.0000;0.2618;-0.0349;
2.4000;7.2865;-3.8375;0.8660;0.0000;0.2618;-0.0349;
2.4620;7.2865;-3.8375;0.8660;0.0000;0.2618;-0.0349;
2.4640;7.2865;-3.8375;0.8660;0.0000;0.2618;-0.0349;
2.4650;7.2865;-3.8375;0.8660;-0.0349;-0.2094;-0.2967;
2.4660;4.6515;-0.4179;1.1944;-0.0349;-0.2094;-0.2967;
2.5280;4.6515;-0.4179;1.1944;-0.0349;-0.2094;-0.2967;
2.5300;4.6515;-0.4179;1.1944;-0.0349;-0.2094;-0.2967;
2.5310;4.6515;-0.4179;1.1944;0.0000;-0.3840;-0.3141;
2.5310;0.2620;0.5602;-2.0891;0.0000;-0.3840;-0.3141;
2.5940;0.2620;0.5602;-2.0891;0.0000;-0.3840;-0.3141;
2.5960;0.2620;0.5602;-2.0891;0.0000;-0.3840;-0.3141;
2.5970;0.2620;0.5602;-2.0891;0.0524;-0.2967;-0.0524;
2.5980;-0.8482;3.0237;-2.3398;0.0524;-0.2967;-0.0524;
2.6600;-0.8482;3.0237;-2.3398;0.0524;-0.2967;-0.0524;
2.6620;-0.8482;3.0237;-2.3398;0.0524;-0.2967;-0.0524;
2.6630;-0.8482;3.0237;-2.3398;0.0698;-0.1920;-0.0349;
2.6640;-0.8526;5.7710;-1.4165;0.0698;-0.1920;-0.0349;
2.7260;-0.8526;5.7710;-1.4165;0.0698;-0.1920;-0.0349;
2.7280;-0.8526;5.7710;-1.4165;0.0698;-0.1920;-0.0349;
2.7290;-0.8526;5.7710;-1.4165;-0.0698;-0.1571;-0.3665;
2.7300;-4.3622;4.2347;-3.4596;-0.0698;-0.1571;-0.3665;
2.7920;-4.3622;4.2347;-3.4596;-0.0698;-0.1571;-0.3665;
2.7940;-4.3622;4.2347;-3.4596;-0.0698;-0.1571;-0.3665;
2.7950;-4.3622;4.2347;-3.4596;-0.2967;-0.4538;-0.4538;
2.7960;-5.6305;-4.0899;-7.3729;-0.2967;-0.4538;-0.4538;
2.8580;-5.6305;-4.0899;-7.3729;-0.2967;-0.4538;-0.4538;
2.8600;-5.6305;-4.0899;-7.3729;-0.2967;-0.4538;-0.4538;
2.8610;-5.6305;-4.0899;-7.3729;-0.6981;-0.9424;-0.6632;
2.8610;2.1327;2.7782;-4.1183;-0.6981;-0.9424;-0.6632;
2.9240;2.1327;2.7782;-4.1183;-0.6981;-0.9424;-0.6632;
2.9260;2.1327;2.7782;-4.1183;-0.6981;-0.9424;-0.6632;
2.9270;2.1327;2.7782;-4.1183;-0.9773;-1.3089;-0.7156;
2.9280;-1.7605;-2.9559;-1.3578;-0.9773;-1.3089;-0.7156;
2.9900;-1.7605;-2.9559;-1.3578;-0.9773;-1.3089;-0.7156;
2.9920;-1.7605;-2.9559;-1.3578;-0.9773;-1.3089;-0.7156;
2.9930;-1.7605;-2.9559;-1.3578;-1.1693;-1.3264;-1.1519;
2.9940;-1.7793;3.0470;4.3130;-1.1693;-1.3264;-1.1519;
3.0560;-1.7793;3.0470;4.3130;-1.1693;-1.3264;-1.1519;
3.0790;-1.7793;3.0470;4.3130;-1.1693;-1.3264;-1.1519;
3.0800;-1.7793;3.0470;4.3130;-1.1519;-1.0821;-1.2391;
3.0800;-2.2486;0.3975;1.8954;-1.1519;-1.0821;-1.2391;
3.1220;-2.2486;0.3975;1.8954;-1.1519;-1.0821;-1.2391;
3.1240;-2.2486;0.3975;1.8954;-1.1519;-1.0821;-1.2391;
3.1250;-2.2486;0.3975;1.8954;-0.8552;-0.6283;-0.9250;
3.1260;-0.4884;0.7160;-3.2422;-0.8552;-0.6283;-0.9250;
3.1880;-0.4884;0.7160;-3.2422;-0.8552;-0.6283;-0.9250;
3.1900;-0.4884;0.7160;-3.2422;-0.8552;-0.6283;-0.9250;
3.1910;-0.4884;0.7160;-3.2422;-0.3316;-0.1396;-0.4363;
3.1910;-0.3973;1.8924;5.6847;-0.3316;-0.1396;-0.4363;
3.2540;-0.3973;1.8924;5.6847;-0.3316;-0.1396;-0.4363;
3.2560;-0.3973;1.8924;5.6847;-0.3316;-0.1396;-0.4363;
3.2570;-0.3973;1.8924;5.6847;0.3316;0.3316;0.0000;
3.2580;0.6400;-1.0473;-0.7393;0.3316;0.3316;0.0000;
3.3200;0.6400;-1.0473;-0.7393;0.3316;0.3316;0.0000;
3.3220;0.6400;-1.0473;-0.7393;0.3316;0.3316;0.0000;
3.3230;0.6400;-1.0473;-0.7393;0.5934;0.4887;0.0698;
3.3250;0.9723;-1.8043;0.0143;0.5934;0.4887;0.0698;
3.3870;0.9723;-1.8043;0.0143;0.5934;0.4887;0.0698;
3.3890;0.9723;-1.8043;0.0143;0.5934;0.4887;0.0698;
3.3900;0.9723;-1.8043;0.0143;0.7156;0.5585;0.0872;
3.3920;-4.8050;-0.2928;1.8888;0.7156;0.5585;0.0872;
3.4530;-4.8050;-0.2928;1.8888;0.7156;0.5585;0.0872;
3.4550;-4.8050;-0.2928;1.8888;0.7156;0.5585;0.0872;
3.4560;-4.8050;-0.2928;1.8888;0.7156;0.5759;0.1571;
3.4650;-7.4921;-1.6905;0.3802;0.7156;0.5759;0.1571;
3.5190;-7.4921;-1.6905;0.3802;0.7156;0.5759;0.1571;
3.5210;-7.4921;-1.6905;0.3802;0.7156;0.5759;0.1571;
3.5410;-7.4921;-1.6905;0.3802;0.6283;0.5759;0.1920;
3.5420;4.1421;-4.3822;-1.3257;0.6283;0.5759;0.1920;
3.5840;4.1421;-4.3822;-1.3257;0.6283;0.5759;0.1920;
3.5910;4.1421;-4.3822;-1.3257;0.6283;0.5759;0.1920;
3.5920;4.1421;-4.3822;-1.3257;0.4887;0.4538;0.0000;
3.5930;4.6364;-0.8893;4.3710;0.4887;0.4538;0.0000;
3.6500;4.6364;-0.8893;4.3710;0.4887;0.4538;0.0000;
3.6520;4.6364;-0.8893;4.3710;0.4887;0.4538;0.0000;
3.6530;4.6364;-0.8893;4.3710;0.3840;0.2792;-0.2269;
3.6540;0.2514;1.8903;-1.3002;0.3840;0.2792;-0.2269;
3.7160;0.2514;1.8903;-1.3002;0.3840;0.2792;-0.2269;
3.7180;0.2514;1.8903;-1.3002;0.3840;0.2792;-0.2269;
3.7190;0.2514;1.8903;-1.3002;0.1396;0.1047;-0.9250;
3.7200;-1.3119;2.9703;-0.9811;0.1396;0.1047;-0.9250;
3.7850;-1.3119;2.9703;-0.9811;0.1396;0.1047;-0.9250;
3.7860;-1.3119;2.9703;-0.9811;-0.2443;-0.0698;-2.0943;
3.7860;-1.8653;3.0877;0.2173;-0.2443;-0.0698;-2.0943;
3.7880;-1.8653;3.0877;0.2173;-0.2443;-0.0698;-2.0943;
3.8480;-1.8653;3.0877;0.2173;-0.2443;-0.0698;-2.0943;
3.8500;-1.8653;3.0877;0.2173;-0.2443;-0.0698;-2.0943;
3.8510;-1.8653;3.0877;0.2173;-0.2792;-0.3665;-1.6580;
3.8520;0.0796;3.9371;-1.7942;-0.2792;-0.3665;-1.6580;
3.9150;0.0796;3.9371;-1.7942;-0.2792;-0.3665;-1.6580;
3.9180;0.0796;3.9371;-1.7942;-0.2792;-0.3665;-1.6580;
3.9200;0.0796;3.9371;-1.7942;0.0000;-0.4887;-0.3316;
3.9200;-6.7809;-5.0361;-7.8819;0.0000;-0.4887;-0.3316;
3.9800;-6.7809;-5.0361;-7.8819;0.0000;-0.4887;-0.3316;
3.9820;-6.7809;-5.0361;-7.8819;0.0000;-0.4887;-0.3316;
3.9830;-6.7809;-5.0361;-7.8819;0.0872;-0.7854;0.8203;
3.9830;-1.2790;2.9630;-0.8263;0.0872;-0.7854;0.8203;
4.0460;-1.2790;2.9630;-0.8263;0.0872;-0.7854;0.8203;
4.0480;-1.2790;2.9630;-0.8263;0.0872;-0.7854;0.8203;
4.0480;-1.2790;2.9630;-0.8263;-0.2967;-1.0821;0.2269;
4.0490;-0.0539;-4.9433;-1.2169;-0.2967;-1.0821;0.2269;
4.1120;-0.0539;-4.9433;-1.2169;-0.2967;-1.0821;0.2269;
